ListPrice,SalePrice,Age,Living,Lot,Tax,Bathrooms,Bedrooms,Garage,Story,CitySewer,eastUS1,Pool
459000,459000,61,1612,13500,4977,3,2,1,1,yes,no,no
314000,295000,62,1614,6680,3328,2,3,1,1,yes,no,no
439000,421950,53,1620,13000,4760,2,2,1,1,no,no,yes
459000,430000,51,1622,8367,5106,2,3,1,1,no,yes,no
385000,365000,61,1628,6060,3130,2,3,0,1,no,no,no
324000,304000,30,1631,5000,2780,2,3,1,1,no,no,no
389000,372000,77,1632,5000,2713,2,2,0,1,no,no,no
494500,475000,48,1632,10000,4155,2,3,1,1,no,yes,no
365000,327500,45,1633,5000,4234,2,3,1,1,yes,no,no
399900,399900,77,1636,5250,2681,2,3,1,1,no,no,no
329000,329000,77,1637,5250,2993,1,2,1,1,no,no,no
279000,274000,50,1639,8320,2622,2,2,1,1,no,no,no
399000,370000,32,1640,5000,3679,2,3,1,1,yes,no,no
329000,325000,53,1646,5000,2432,2,2,1,1,no,no,no
425000,415000,55,1646,8308,3807,2,3,0,1,yes,no,no
385000,385000,52,1651,5000,2934,2,3,1,1,no,no,no
359000,355000,54,1653,7000,4106,2,3,1,1,no,no,no
335000,335000,78,1663,5650,3787,3,3,0,1,yes,no,no
479000,474000,52,1667,10000,5363,2,3,1,1,no,no,yes
300000,300000,77,1669,5400,2734,2,3,0,1,no,no,no
350000,320000,52,1671,8314,3548,2,3,1,1,no,no,no
395000,350000,80,1672,10000,4708,1,2,0,1,yes,no,no
350000,340000,50,1673,8400,3671,2,3,1,1,yes,no,no
324900,315000,40,1673,8300,4251,2,2,1,1,no,no,no
439900,420000,49,1682,7500,6472,2,3,1,1,no,yes,yes
339000,330000,51,1683,12500,5825,1,2,2,1,no,no,no
429000,415000,55,1684,10301,4270,2,3,1,1,no,yes,yes
395000,370000,54,1689,7897,4450,2,3,1,1,no,no,no
449000,430000,51,1690,10000,3628,2,3,2,1,no,no,yes
259900,259000,25,1700,5350,2583,2,3,1,1,yes,no,no
279900,275000,47,1704,5300,4096,2,2,1,1,no,no,no
459000,450000,49,1713,10000,4142,2,3,1,1,no,yes,no
369000,345000,62,1715,10000,4694,1,3,0,1,no,yes,no
385000,360000,49,1723,11025,4402,2,3,1,1,no,no,no
329000,260000,76,1725,5400,2774,1,3,0,1,no,no,no
393000,375000,49,1725,7500,3922,2,3,1,1,no,no,no
490000,469000,49,1725,10000,4764,2,3,2,1,no,yes,yes
415000,396000,54,1726,10000,3373,2,3,1,1,no,no,no
